,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Carroll County, Virginia: Summary level: 050, state:51> county:035",12997,366,13363,2.7,18881,12387,3147,5162.0,15004,14797,7091,44835,47.6
"San Francisco County, California: Summary level: 050, state:06> county:075",523501,23040,546541,4.2,659528,256437,31903,88725.0,446286,428675,134981,112449,38.2
"Sacramento County, California: Summary level: 050, state:06> county:067",704151,49129,753280,6.5,990622,612564,82754,178919.0,744997,779556,209596,67151,36.2
"El Dorado County, California: Summary level: 050, state:06> county:017",85101,4917,90018,5.5,141832,69564,8571,24751.0,93922,94641,38570,83377,45.9
"Monterey County, California: Summary level: 050, state:06> county:053",187708,9696,197404,4.9,239671,176021,40995,36910.0,221001,212409,57240,71015,34.4
"San Diego County, California: Summary level: 050, state:06> county:073",1588732,101445,1690177,6.0,2200833,1087042,252036,317924.0,1669515,1646558,454089,78980,35.8
"Tulare County, California: Summary level: 050, state:06> county:107",178687,18841,197528,9.5,205768,251155,37117,55432.0,230966,230932,51531,49687,31.0
"Humboldt County, California: Summary level: 050, state:06> county:023",62030,5253,67283,7.8,78224,65785,11094,22208.0,67576,68364,23518,48041,38.4
"Alpine County, California: Summary level: 050, state:06> county:003",343,49,392,12.5,565,560,92,166.0,554,485,311,63750,52.2
"Madera County, California: Summary level: 050, state:06> county:039",58268,5554,63822,8.7,75317,80293,12202,19148.0,74972,80461,21431,57585,34.1
"Santa Cruz County, California: Summary level: 050, state:06> county:087",136406,8264,144670,5.7,194593,97466,13989,32572.0,135634,138328,43155,82234,37.8
"Trinity County, California: Summary level: 050, state:06> county:105",4465,432,4897,8.8,6453,7064,1311,2621.0,6535,6165,3410,40846,52.5
"Riverside County, California: Summary level: 050, state:06> county:065",1032734,83356,1116090,7.5,1399234,992720,209289,276161.0,1200960,1210479,340575,67005,35.6
"San Bernardino County, California: Summary level: 050, state:06> county:071",914514,75886,990400,7.7,1183463,893541,176546,230644.0,1069766,1079265,241961,63362,33.3
"Marin County, California: Summary level: 050, state:06> county:041",130747,5039,135786,3.7,202101,84487,8987,23346.0,126956,132987,56170,115246,46.8
"Placer County, California: Summary level: 050, state:06> county:061",178325,7902,186227,4.2,303686,124146,15444,40590.0,188162,197350,73772,89691,42.0
"Shasta County, California: Summary level: 050, state:06> county:089",74134,4280,78414,5.5,107835,87349,11546,32482.0,88047,91165,36272,54667,41.5
"Solano County, California: Summary level: 050, state:06> county:095",206978,13191,220169,6.0,312204,158733,20266,52642.0,219818,222011,67309,81472,38.1
"Colusa County, California: Summary level: 050, state:06> county:011",9692,435,10127,4.3,11318,10126,2092,2600.0,10994,10460,3082,59401,35.3
"Copiah County, Mississippi: Summary level: 050, state:28> county:029",10808,872,11680,7.5,15023,12842,3773,4320.0,13601,14900,4794,42151,38.5
"Hinds County, Mississippi: Summary level: 050, state:28> county:049",104928,10728,115656,9.3,134874,95558,29300,29944.0,111362,127435,32557,44625,34.8
"Union County, Mississippi: Summary level: 050, state:28> county:145",12282,768,13050,5.9,16674,11310,3059,5371.0,14012,14495,4679,45754,37.9
"Tippah County, Mississippi: Summary level: 050, state:28> county:139",8914,407,9321,4.4,12866,8992,2694,4375.0,10641,11377,3449,39246,38.8
"Forrest County, Mississippi: Summary level: 050, state:28> county:035",32568,2863,35431,8.1,43914,28154,10402,15542.0,35722,39502,9996,39840,32.5
"Lafayette County, Mississippi: Summary level: 050, state:28> county:071",24997,1518,26515,5.7,40568,13120,4588,5707.0,25822,27768,6505,50272,30.5
"Lowndes County, Mississippi: Summary level: 050, state:28> county:087",24392,2142,26534,8.1,36594,19508,6858,6662.0,28141,31009,9156,50441,37.1
"Wilkinson County, Mississippi: Summary level: 050, state:28> county:157",2434,284,2718,10.4,3542,3915,1029,1917.0,4870,4005,1497,27313,37.8
"Jefferson Davis County, Mississippi: Summary level: 050, state:28> county:065",4303,423,4726,9.0,5713,5779,1592,1964.0,5421,5918,2477,32116,44.0
"Scott County, Mississippi: Summary level: 050, state:28> county:123",11243,834,12077,6.9,15153,11460,4805,6566.0,14052,14280,4217,34943,36.4
"Yazoo County, Mississippi: Summary level: 050, state:28> county:163",8876,1540,10416,14.8,11550,11635,3047,5876.0,16638,11927,3639,33279,36.1
"Bolivar County, Mississippi: Summary level: 050, state:28> county:011",10739,964,11703,8.2,13696,15980,4474,6026.0,15012,16836,4780,29854,35.6
"Pike County, Mississippi: Summary level: 050, state:28> county:113",13966,724,14690,4.9,20916,17482,5351,6342.0,18741,20791,6571,31784,37.2
"Stone County, Mississippi: Summary level: 050, state:28> county:131",7886,284,8170,3.5,9968,8045,2171,3368.0,9199,9077,2933,45483,38.7
"Kemper County, Mississippi: Summary level: 050, state:28> county:069",3311,388,3699,10.5,5177,4688,1125,2031.0,5059,4884,1925,31103,41.4
"Sunflower County, Mississippi: Summary level: 050, state:28> county:133",8212,1305,9517,13.7,9814,10725,3186,3233.0,13867,12301,3384,30838,35.6
"Adams County, Mississippi: Summary level: 050, state:28> county:001",10449,1172,11621,10.1,13616,13989,4338,5001.0,16132,15134,5716,29936,41.4
"DeSoto County, Mississippi: Summary level: 050, state:28> county:033",88982,4986,93968,5.3,136168,47299,14296,20457.0,86292,92683,22631,67038,36.8
"Delaware County, Pennsylvania: Summary level: 050, state:42> county:045",279607,16580,296187,5.6,424764,181056,26619,66312.0,271636,292918,90402,74477,39.0
"Somerset County, Pennsylvania: Summary level: 050, state:42> county:111",32230,1734,33964,5.1,49000,29208,4687,11834.0,38821,35540,16178,49089,46.1
"Madison County, Missouri: Summary level: 050, state:29> county:123",5005,226,5231,4.3,7404,4831,1294,2945.0,5948,6231,2286,43636,42.2
"Vernon County, Missouri: Summary level: 050, state:29> county:217",8861,395,9256,4.3,11847,7705,2912,3543.0,10066,10529,3859,43276,40.8
"Nodaway County, Missouri: Summary level: 050, state:29> county:147",11072,330,11402,2.9,16291,5792,1993,2321.0,11102,11257,3316,44232,29.7
"Chariton County, Missouri: Summary level: 050, state:29> county:041",3091,110,3201,3.4,5174,2782,568,1349.0,3722,3761,1777,46738,45.7
"Wayne County, Missouri: Summary level: 050, state:29> county:223",4322,301,4623,6.5,6438,6927,1825,3801.0,6442,6753,3049,34316,47.5
"Scott County, Missouri: Summary level: 050, state:29> county:201",16745,772,17517,4.4,23098,16164,4182,7639.0,18685,19948,6885,44139,40.0
"Barton County, Missouri: Summary level: 050, state:29> county:011",5135,390,5525,7.1,7380,4609,1286,2329.0,5818,5979,2372,44125,41.3
"Cedar County, Missouri: Summary level: 050, state:29> county:039",5164,388,5552,7.0,6746,7060,2171,2890.0,7041,7002,3276,39365,44.7
"Gasconade County, Missouri: Summary level: 050, state:29> county:073",7019,197,7216,2.7,10397,4922,986,2614.0,7388,7323,3285,54885,46.2
"Macon County, Missouri: Summary level: 050, state:29> county:121",6354,352,6706,5.2,10277,5725,1598,2516.0,7633,7566,3343,42746,43.3
"Oregon County, Missouri: Summary level: 050, state:29> county:149",3977,144,4121,3.5,4929,5649,1796,2796.0,5268,5379,2465,33601,46.4
"Ste. Genevieve County, Missouri: Summary level: 050, state:29> county:186",8870,319,9189,3.5,13510,5941,860,2629.0,9050,8798,3385,60129,43.3
"Douglas County, Missouri: Summary level: 050, state:29> county:067",4984,308,5292,5.8,6576,6466,2046,3036.0,6648,6658,3181,37425,47.3
"Henry County, Missouri: Summary level: 050, state:29> county:083",9038,578,9616,6.0,12774,9504,2455,4214.0,10708,11027,4646,45795,44.1
"Lawrence County, Missouri: Summary level: 050, state:29> county:109",17024,1114,18138,6.1,22978,14365,5081,6880.0,18918,19286,6818,44742,39.4
"Pulaski County, Missouri: Summary level: 050, state:29> county:169",17522,1111,18633,6.0,28075,12597,4176,7735.0,29924,22501,4375,53492,27.6
"Texas County, Missouri: Summary level: 050, state:29> county:215",8906,720,9626,7.5,12862,11459,3911,5902.0,13364,12240,5249,35067,43.2
"Callaway County, Missouri: Summary level: 050, state:29> county:027",20346,691,21037,3.3,31270,13229,3846,5935.0,22886,22003,7112,56938,38.6
"Cooper County, Missouri: Summary level: 050, state:29> county:053",7723,339,8062,4.2,11642,5201,1595,2531.0,9280,8380,3037,52735,38.7
"Gentry County, Missouri: Summary level: 050, state:29> county:075",3027,121,3148,3.8,4317,2429,683,985.0,3199,3417,1297,47790,40.4
"Hampton city, Virginia: Summary level: 050, state:51> county:650",61782,4000,65782,6.1,92776,45772,10471,20278.0,65105,69936,20215,56287,36.2
"Washington County, Virginia: Summary level: 050, state:51> county:191",23678,1305,24983,5.2,34903,21925,4947,11277.0,26584,27487,12004,48495,46.3
"Page County, Virginia: Summary level: 050, state:51> county:139",10882,755,11637,6.5,15774,8986,2868,4711.0,11754,12034,4966,51792,45.4
"Alexandria city, Virginia: Summary level: 050, state:51> county:510",96960,3045,100005,3.0,121040,31543,16849,10964.0,75954,81659,17766,100939,36.8
"Arlington County, Virginia: Summary level: 050, state:51> county:013",146900,4103,151003,2.7,202583,34278,13522,13526.0,116785,116679,24465,120071,34.7
"Buchanan County, Virginia: Summary level: 050, state:51> county:027",6405,498,6903,7.2,10389,11052,2600,5578.0,10958,10830,4669,31956,46.8
"Stafford County, Virginia: Summary level: 050, state:51> county:179",72033,2783,74816,3.7,118705,30630,10423,12510.0,74067,72706,14857,111108,35.5
"Richmond city, Virginia: Summary level: 050, state:51> county:760",116615,8163,124778,6.5,140158,78210,26872,34052.0,107430,119192,29085,47250,34.0
"Essex County, Virginia: Summary level: 050, state:51> county:057",5121,376,5497,6.8,6865,4731,935,1596.0,4970,6028,2443,51954,46.3
"Tazewell County, Virginia: Summary level: 050, state:51> county:185",15160,1050,16210,6.5,24008,18768,3994,8789.0,20647,20956,8938,42099,45.2
"Manassas Park city, Virginia: Summary level: 050, state:51> county:685",9340,439,9779,4.5,11059,4400,2895,1559.0,8887,8099,1437,88046,34.7
"Sussex County, Virginia: Summary level: 050, state:51> county:183",4151,315,4466,7.1,6132,3472,906,1531.0,6811,4566,1969,49487,41.0
"Manassas city, Virginia: Summary level: 050, state:51> county:683",21799,1145,22944,5.0,28414,10362,6265,2769.0,20657,20517,4003,81493,34.2
"Salem city, Virginia: Summary level: 050, state:51> county:775",12277,559,12836,4.4,18645,7390,1559,2812.0,11771,13546,4803,57165,41.2
"Charlotte County, Virginia: Summary level: 050, state:51> county:037",5048,321,5369,6.0,6523,5442,1532,2460.0,5926,6114,2634,40573,46.2
"Greensville County, Virginia: Summary level: 050, state:51> county:081",3899,200,4099,4.9,5146,3652,869,1354.0,7256,4269,1710,50300,40.7
"Thurston County, Washington: Summary level: 050, state:53> county:067",128801,8781,137582,6.4,206424,99903,13240,36503.0,136855,142856,46930,72003,39.0
"Columbia County, Washington: Summary level: 050, state:53> county:013",1737,99,1836,5.4,2561,2021,190,934.0,1926,2066,1128,53423,50.2
"Guayanilla Municipio, Puerto Rico: Summary level: 050, state:72> county:059",4762,1318,6080,21.7,6067,12884,636,,8817,9697,3702,17379,41.3
"Sabana Grande Municipio, Puerto Rico: Summary level: 050, state:72> county:121",6407,1294,7701,16.8,7624,14436,1345,,10614,11946,4992,17319,42.3
"Hormigueros Municipio, Puerto Rico: Summary level: 050, state:72> county:067",4909,1436,6345,22.6,6538,10440,622,,7340,8603,4302,19030,47.2
"Utuado Municipio, Puerto Rico: Summary level: 050, state:72> county:141",6220,2796,9016,31.0,7104,20597,1959,,13910,14766,5976,15399,43.5
"Florida Municipio, Puerto Rico: Summary level: 050, state:72> county:054",3465,758,4223,17.9,3621,8130,409,,5624,6073,2056,20442,39.9
"Moca Municipio, Puerto Rico: Summary level: 050, state:72> county:099",9584,3086,12670,24.4,10322,25185,1689,,17635,18526,6097,15037,40.0
"Salinas Municipio, Puerto Rico: Summary level: 050, state:72> county:123",7928,446,8374,5.3,8090,19671,1535,,13584,14525,5260,18189,40.9
"Sumner County, Tennessee: Summary level: 050, state:47> county:165",92522,2875,95397,3.0,129420,57159,15453,25852.0,89689,93748,28541,67204,39.8
"Mississippi County, Missouri: Summary level: 050, state:29> county:133",4513,443,4956,8.9,5744,5716,1755,2566.0,7427,6147,2388,35357,41.4
"Ozark County, Missouri: Summary level: 050, state:29> county:153",3075,184,3259,5.6,4438,4795,1363,2129.0,4489,4718,2521,31947,51.6
"Bollinger County, Missouri: Summary level: 050, state:29> county:017",5257,221,5478,4.0,7602,5007,1404,2735.0,6068,6157,2396,44158,44.0
"Trousdale County, Tennessee: Summary level: 050, state:47> county:169",4605,309,4914,6.3,5824,3555,1234,1565.0,5987,4244,1425,56321,35.1
"Clay County, Tennessee: Summary level: 050, state:47> county:027",2670,117,2787,4.2,3975,3795,848,1411.0,3669,3985,1817,32167,47.3
"St. Clair County, Illinois: Summary level: 050, state:17> county:163",120965,8750,129715,6.7,173992,100222,15836,34585.0,126734,135604,39961,55179,38.6
"Moultrie County, Illinois: Summary level: 050, state:17> county:139",7045,216,7261,3.0,9753,4319,2296,1832.0,7199,7442,2766,61456,40.7
"Pike County, Illinois: Summary level: 050, state:17> county:149",6815,434,7249,6.0,10038,6754,740,2533.0,7744,7928,3225,47492,42.0
"Pope County, Illinois: Summary level: 050, state:17> county:151",1138,212,1350,15.7,2568,2231,160,1055.0,2262,1941,1150,38056,52.5
"Shelby County, Illinois: Summary level: 050, state:17> county:173",10426,482,10908,4.4,16124,8427,830,2749.0,10721,11016,4801,52953,45.1
"Champaign County, Illinois: Summary level: 050, state:17> county:019",103206,5191,108397,4.8,166384,55054,8262,18653.0,104627,105295,25959,52797,30.1
"Calhoun County, Illinois: Summary level: 050, state:17> county:013",1996,63,2059,3.1,3386,1992,65,1049.0,2420,2410,1124,63009,46.8
"Ford County, Illinois: Summary level: 050, state:17> county:053",6306,298,6604,4.5,8673,5596,639,1957.0,6551,6719,2498,52092,43.4
"Kane County, Illinois: Summary level: 050, state:17> county:089",268488,13589,282077,4.8,380101,156486,44025,45597.0,264564,266812,69950,79394,37.3
"Kendall County, Illinois: Summary level: 050, state:17> county:093",65645,3045,68690,4.4,103410,27372,6288,9574.0,62117,63937,12753,96563,35.2
"Brown County, Illinois: Summary level: 050, state:17> county:009",2423,94,2517,3.7,3397,1750,301,737.0,4193,2435,960,61655,38.9
"Marion County, Illinois: Summary level: 050, state:17> county:121",16244,1709,17953,9.5,22024,18737,2396,6964.0,18613,19130,7288,47519,42.2
"Mason County, Illinois: Summary level: 050, state:17> county:125",6339,448,6787,6.6,8863,6649,561,2258.0,6708,6913,3005,48417,45.2
"Iroquois County, Illinois: Summary level: 050, state:17> county:075",12897,673,13570,5.0,18781,11547,1591,4343.0,13576,14236,5895,52700,44.4
"Clay County, Illinois: Summary level: 050, state:17> county:025",6030,318,6348,5.0,8139,6351,837,2576.0,6634,6653,2661,48500,42.6
"Gallatin County, Illinois: Summary level: 050, state:17> county:059",2124,105,2229,4.7,3139,2767,150,1164.0,2463,2601,1191,44076,45.6
"Monroe County, Illinois: Summary level: 050, state:17> county:133",18127,534,18661,2.9,29092,8331,864,3245.0,16788,17380,5891,85747,42.0
"Union County, Illinois: Summary level: 050, state:17> county:181",6962,480,7442,6.4,10571,7785,977,3015.0,8508,8460,3470,50625,43.7
"Winnebago County, Illinois: Summary level: 050, state:17> county:201",132720,11774,144494,8.1,183957,121503,16529,39216.0,139039,145780,48452,54489,39.7
"Pulaski County, Illinois: Summary level: 050, state:17> county:153",1830,183,2013,9.1,2800,3137,298,1203.0,2717,2793,1201,34640,44.0
"Schuyler County, Illinois: Summary level: 050, state:17> county:169",2893,234,3127,7.5,4647,2663,647,1359.0,3641,3312,1528,52357,46.3
"Edgar County, Illinois: Summary level: 050, state:17> county:045",8218,449,8667,5.2,12070,7172,845,2897.0,8540,8867,3777,53647,45.2
"Boone County, Illinois: Summary level: 050, state:17> county:007",25777,1697,27474,6.2,38903,17831,3187,6128.0,26792,26745,8334,69272,38.5
"Bureau County, Illinois: Summary level: 050, state:17> county:011",15890,835,16725,5.0,23711,13074,1521,4391.0,16334,16788,7163,57436,44.4
"Coles County, Illinois: Summary level: 050, state:17> county:029",24994,1498,26492,5.7,32894,20922,3107,7801.0,24877,26476,8495,46202,35.7
"Crawford County, Illinois: Summary level: 050, state:17> county:033",7645,430,8075,5.3,11665,6996,1020,2970.0,9906,9066,3558,49779,41.8
"Putnam County, Illinois: Summary level: 050, state:17> county:155",2906,77,2983,2.6,4391,2321,147,770.0,2962,2759,1298,63638,48.1
"De Witt County, Illinois: Summary level: 050, state:17> county:039",7926,398,8324,4.8,11191,6095,650,2026.0,7947,7985,2990,55587,43.6
"Lee County, Illinois: Summary level: 050, state:17> county:103",15438,560,15998,3.5,23282,11922,1132,4850.0,18299,16090,6511,58194,43.2
"Macoupin County, Illinois: Summary level: 050, state:17> county:117",20551,1455,22006,6.6,30904,19050,2026,6609.0,22535,22928,8895,55159,43.7
"Richland County, Illinois: Summary level: 050, state:17> county:159",7165,425,7590,5.6,10211,7206,674,2709.0,7797,7969,3166,48894,42.0
